HomeTeam,AwayTeam,Season,rugbypassURL,Round,HomeScore,AwayScore
worcester,newcastle,22/23,https://www.rugbypass.com/live/newcastle-vs-worcester/?g=932454,3,39,5
bath,wasps,22/23,https://www.rugbypass.com/live/bath-vs-wasps/?g=932450,3,31,39
harlequins,northampton,22/23,https://www.rugbypass.com/live/harlequins-vs-northampton/?g=932461,4,35,29
london-irish,bath,22/23,https://www.rugbypass.com/live/bath-vs-london-irish/?g=932458,4,47,38
sale,exeter-chiefs,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-sale/?g=932459,4,28,20
saracens,leicester,22/23,https://www.rugbypass.com/live/leicester-vs-saracens/?g=932460,4,51,18
newcastle,bristol,22/23,https://www.rugbypass.com/live/bristol-vs-newcastle/?g=932456,4,30,15
newcastle,saracens,22/23,https://www.rugbypass.com/live/newcastle-vs-saracens/?g=932466,5,14,34
wasps,northampton,22/23,https://www.rugbypass.com/live/northampton-vs-wasps/?g=932467,5,36,40
bath,gloucester,22/23,https://www.rugbypass.com/live/bath-vs-gloucester/?g=932463,5,17,21
leicester,sale,22/23,https://www.rugbypass.com/live/leicester-vs-sale/?g=932464,5,16,26
bristol,exeter-chiefs,22/23,https://www.rugbypass.com/live/bristol-vs-exeter-chiefs/?g=932462,5,14,50
harlequins,leicester,22/23,https://www.rugbypass.com/live/harlequins-vs-leicester/?g=932473,6,19,27
gloucester,bristol,22/23,https://www.rugbypass.com/live/bristol-vs-gloucester/?g=932470,6,31,28
northampton,newcastle,22/23,https://www.rugbypass.com/live/newcastle-vs-northampton/?g=932471,6,32,31
saracens,bath,22/23,https://www.rugbypass.com/live/bath-vs-saracens/?g=932472,6,37,31
sale,london-irish,22/23,https://www.rugbypass.com/live/london-irish-vs-sale/?g=932468,6,37,14
sale,harlequins,22/23,https://www.rugbypass.com/live/harlequins-vs-sale/?g=932478,7,13,29
bath,northampton,22/23,https://www.rugbypass.com/live/bath-vs-northampton/?g=932475,7,27,14
exeter-chiefs,saracens,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-saracens/?g=932477,7,20,22
london-irish,gloucester,22/23,https://www.rugbypass.com/live/gloucester-vs-london-irish/?g=932474,7,21,22
saracens,sale,22/23,https://www.rugbypass.com/live/sale-vs-saracens/?g=932484,8,33,22
harlequins,london-irish,22/23,https://www.rugbypass.com/live/harlequins-vs-london-irish/?g=932481,8,26,24
northampton,bristol,22/23,https://www.rugbypass.com/live/bristol-vs-northampton/?g=932482,8,45,31
gloucester,exeter-chiefs,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-gloucester/?g=932480,8,38,22
bristol,saracens,22/23,https://www.rugbypass.com/live/bristol-vs-saracens/?g=932491,9,10,25
newcastle,bath,22/23,https://www.rugbypass.com/live/bath-vs-newcastle/?g=932490,9,10,17
sale,gloucester,22/23,https://www.rugbypass.com/live/gloucester-vs-sale/?g=932487,9,27,17
northampton,exeter-chiefs,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-northampton/?g=932486,9,26,19
saracens,northampton,22/23,https://www.rugbypass.com/live/northampton-vs-saracens/?g=932496,10,45,39
exeter-chiefs,london-irish,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-london-irish/?g=932495,10,22,17
gloucester,newcastle,22/23,https://www.rugbypass.com/live/gloucester-vs-newcastle/?g=932493,10,21,27
bath,leicester,22/23,https://www.rugbypass.com/live/bath-vs-leicester/?g=932492,10,19,18
leicester,london-irish,22/23,https://www.rugbypass.com/live/leicester-vs-london-irish/?g=932499,11,33,31
sale,bristol,22/23,https://www.rugbypass.com/live/bristol-vs-sale/?g=932502,11,25,20
harlequins,gloucester,22/23,https://www.rugbypass.com/live/gloucester-vs-harlequins/?g=932498,11,21,12
