HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore,Home 22m Entries,Away 22m Entries,Home 22m Conversions,Away 22m Conversions,Home Line Breaks,Away Line Breaks,Home Carries,Away Carries,Home Kicks,Away Kicks,Home Post Contact Metres,Away Post Contact Metres,Home Dominate Tackles,Away Dominate Tackles,Home Tackles Made,Away Tackles Made,Home Tackles Missed,Away Tackles Missed,Home Turnovers Won,Away Turnovers Won,Home Tackle Turnovers,Away Tackle Turnovers,Home Offloads Allowed,Away Offloads Allowed,Home 0-3s Ruck Speed,Away 0-3s Ruck Speed,Home 3-6s Ruck Speed,Away 3-6s Ruck Speed,Home 6s+ Ruck Speed,Away 6s+ Ruck Speed,Home Rucks Won,Away Rucks Won,Home Penalty Goals,Away Penalty Goals,Home Tries,Away Tries,Home Conversions,Away Conversions,Home Drop Goals,Away Drop Goals,Home Turnovers Lost,Away Turnovers Lost,Territory Home Try-Line - 22m,Territory Home 22m - 50m,Territory Away 22m - 50m,Territory Away Try-Line - 22m,Home Territory,Away Territory,Home Possessions Try Line - 22m,Home Possession 22m - 50m,Home Possession opp 50m - 22m,Home Possession opp 22m - Try Line,Away Possessions Try Line - 22m,Away Possession 22m - 50m,Away Possession opp 50m - 22m,Away Possession opp 22m - Try Line,Home Possession Last 10,Away Possession Last 10,Home Possession,Away Possession,Home Scrums,Away Scrums,Home Scrum Wins,Away Scrum Wins,Home Lineouts,Away Lineouts,Home Lineout Wins %,Away Lineout Wins %,Home Restarts Received,Away Restarts Received,Home Restarts Received Win %,Away Restarts Received Win %,Home Passes,Away Passes,Home Penalties Conceded,Away Penalties Conceded,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Tackle Completion,Away Tackle Completion,Home Metres Gained,Away Metres Gained,Home Defenders Beaten,Away Defenders Beaten,Home Maul Wins,Away Maul Wins
leicester,newcastle,23/24,8,47,3,8,9,5.88,0.33,3,0,99,93,45,34,173,197,10,8,122,107,17,14,8,2,2,1,5,6,0.45,0.46,0.28,0.33,0.27,0.21,66,78,0,1,7,0,6,0,0,0,6,15,0.23,0.38,0.3,0.09,0.38,0.62,0.19,0.3,0.12,0.39,0.2,0.21,0.48,0.29,0.65,0.35,0.51,0.49,8,2,0.83,1,20,17,0.95,0.82,6,3,1,1,95,91,9,13,0,1,0,0,0.88,0.88,259,174,14,17,14,11
bath,harlequins,23/24,9,25,17,12,9,2.08,1.89,6,5,116,118,37,40,174,138,7,2,132,104,30,28,2,5,0,2,9,8,0.34,0.48,0.31,0.26,0.32,0.24,76,92,1,0,4,3,1,1,0,0,13,11,0.18,0.31,0.16,0.35,0.53,0.47,0.1,0.31,0.4,0.18,0.09,0.35,0.36,0.21,0.33,0.67,0.48,0.52,7,6,0.71,1,15,15,0.93,0.8,6,3,0.83,1,120,148,6,10,0,1,0,0,0.81,0.79,546,431,28,30,7,4
exeter-chiefs,leicester,23/24,9,29,10,10,6,2.9,1.67,6,5,116,135,35,35,256,246,20,15,176,134,37,25,4,5,3,3,11,7,0.42,0.39,0.3,0.31,0.24,0.26,86,98,1,0,4,2,2,0,0,0,10,13,0.16,0.31,0.22,0.31,0.52,0.48,0.14,0.17,0.4,0.28,0.13,0.27,0.4,0.2,0.8,0.2,0.46,0.54,7,8,1,0.88,18,16,0.83,0.94,5,3,1,1,114,141,14,10,0,1,0,0,0.83,0.84,399,331,25,37,4,5
gloucester,northampton,23/24,9,29,31,14,9,2.07,3.44,6,6,168,118,28,28,206,189,7,4,130,194,15,19,4,7,2,1,11,9,0.55,0.64,0.28,0.26,0.11,0.08,105,79,1,0,4,5,3,3,0,0,12,14,0.19,0.3,0.18,0.34,0.56,0.44,0.03,0.28,0.45,0.24,0.14,0.22,0.4,0.25,0.89,0.11,0.61,0.39,7,6,0.86,0.5,22,12,0.91,0.83,5,7,1,0.86,266,120,5,14,0,1,0,0,0.9,0.91,461,498,19,15,5,3
newcastle,bristol,23/24,9,13,21,7,11,1.43,1.91,5,7,138,117,29,27,177,299,6,19,113,210,26,21,12,8,8,5,18,6,0.45,0.39,0.3,0.43,0.21,0.11,116,66,2,0,1,3,1,3,0,0,15,19,0.13,0.41,0.19,0.27,0.42,0.58,0.1,0.24,0.38,0.27,0.08,0.17,0.57,0.18,0.59,0.41,0.56,0.44,4,8,1,0.63,17,19,0.82,0.95,2,5,0.5,0.83,166,156,12,13,0,0,0,0,0.81,0.91,328,548,21,26,5,10
sale,saracens,23/24,9,22,20,12,6,1.58,3.33,4,5,97,86,27,25,132,84,5,3,95,96,10,20,5,2,4,0,7,3,0.35,0.43,0.26,0.22,0.34,0.31,70,57,1,2,3,2,2,2,0,0,14,20,0.15,0.35,0.2,0.31,0.52,0.48,0.07,0.37,0.34,0.22,0.09,0.37,0.38,0.16,0.69,0.31,0.55,0.45,15,4,0.6,0.5,19,13,0.74,0.85,5,4,0.8,1,103,109,9,15,0,1,0,0,0.9,0.83,339,289,20,10,6,5
saracens,newcastle,23/24,10,37,19,19,3,1.95,3.33,12,4,204,79,24,26,436,126,11,16,87,244,12,39,4,8,1,3,12,34,0.55,0.61,0.34,0.12,0.05,0.17,126,46,2,4,5,1,2,1,0,0,18,20,0.01,0.29,0.42,0.28,0.72,0.28,0.04,0.21,0.3,0.45,0.27,0.41,0.31,0.01,0.4,0.6,0.67,0.33,10,10,0.8,0.8,11,10,0.82,0.8,7,7,0.86,0.57,261,90,12,16,0,1,1,0,0.88,0.86,677,264,39,12,7,2
harlequins,gloucester,23/24,10,32,26,14,10,2.29,2.6,7,5,151,111,9,34,309,235,6,8,115,130,18,31,6,7,3,4,3,9,0.58,0.49,0.28,0.23,0.09,0.24,85,75,0,0,5,4,2,2,1,0,16,13,0.18,0.29,0.24,0.28,0.53,0.47,0.09,0.18,0.39,0.34,0.14,0.2,0.41,0.25,0.33,0.67,0.51,0.49,5,6,0.8,1,17,16,0.82,0.94,7,5,0.86,0.83,165,170,6,6,1,0,0,0,0.86,0.81,595,358,31,18,6,3
leicester,bath,23/24,10,35,22,10,9,3.5,2.44,6,5,116,106,38,29,203,178,8,11,103,145,23,22,8,6,3,1,7,6,0.43,0.57,0.28,0.13,0.24,0.22,87,64,0,1,5,3,4,2,0,0,16,23,0.2,0.29,0.19,0.32,0.48,0.52,0.06,0.4,0.34,0.2,0.07,0.41,0.31,0.21,0.45,0.55,0.58,0.42,5,5,1,0.8,21,18,0.9,0.83,6,3,1,0.67,147,114,10,11,0,2,0,0,0.82,0.87,431,413,22,23,8,7
northampton,sale,23/24,10,21,17,8,7,2.63,2.43,9,2,158,119,38,42,274,34,27,21,129,178,10,47,2,7,1,5,3,15,0.5,0.38,0.32,0.34,0.14,0.24,108,70,0,0,3,2,2,2,0,1,14,10,0.09,0.38,0.23,0.3,0.55,0.45,0.07,0.32,0.35,0.27,0.09,0.35,0.45,0.11,0.47,0.53,0.53,0.47,3,12,1,0.5,17,14,1,0.86,4,5,0.5,1,178,116,8,14,0,1,0,0,0.93,0.79,462,368,47,10,7,5
bristol,exeter-chiefs,23/24,10,14,24,7,9,2,2.67,3,5,115,115,36,34,223,297,15,12,126,121,22,25,10,2,6,1,8,9,0.24,0.41,0.48,0.32,0.25,0.21,80,67,0,0,2,4,2,2,0,0,16,12,0.28,0.2,0.12,0.4,0.51,0.49,0.14,0.21,0.49,0.15,0.16,0.25,0.24,0.35,0.42,0.58,0.54,0.46,4,6,0.75,1,22,18,1,0.94,3,5,0.67,1,110,89,9,15,0,1,0,0,0.85,0.83,293,460,25,22,13,6
bath,gloucester,23/24,11,17,10,9,5,1.89,1.4,9,4,140,111,34,40,173,218,11,4,108,157,32,34,4,7,2,3,8,8,0.49,0.38,0.26,0.3,0.19,0.3,90,71,0,1,3,1,1,1,0,0,16,9,0.11,0.3,0.21,0.37,0.59,0.41,0.06,0.31,0.4,0.23,0.21,0.35,0.32,0.12,0.15,0.85,0.55,0.45,5,7,0.6,1,20,7,0.8,1,4,3,1,1,131,161,4,16,0,1,0,0,0.77,0.82,650,432,34,32,4,1
leicester,saracens,23/24,11,19,10,12,8,1.58,1.25,5,4,92,113,29,31,72,94,16,12,104,100,28,23,8,5,3,3,14,5,0.49,0.51,0.22,0.3,0.22,0.13,70,70,0,1,3,1,2,1,0,0,17,12,0.14,0.33,0.25,0.29,0.55,0.45,0.12,0.29,0.32,0.27,0.11,0.37,0.36,0.15,0.48,0.52,0.53,0.47,10,7,0.9,0.86,16,16,0.94,0.94,4,3,0.83,1,98,162,6,15,0,1,0,0,0.79,0.81,323,413,23,28,9,1
exeter-chiefs,northampton,23/24,11,36,42,16,7,2.25,6,3,9,135,127,27,37,326,306,11,9,107,175,31,24,2,5,1,0,9,8,0.47,0.47,0.38,0.35,0.1,0.15,96,82,1,0,5,6,4,6,0,0,10,11,0.19,0.2,0.18,0.42,0.64,0.36,0.05,0.15,0.56,0.24,0.15,0.33,0.27,0.25,0.45,0.55,0.53,0.47,8,2,0.88,1,19,15,0.89,1,7,6,0.86,0.83,168,164,11,9,2,0,0,0,0.78,0.88,431,483,24,30,1,5
newcastle,harlequins,23/24,11,3,24,7,9,0,2.67,4,5,122,131,46,52,126,125,1,9,117,136,21,20,4,6,2,4,2,12,0.38,0.39,0.36,0.38,0.22,0.2,94,75,1,0,0,4,0,2,0,0,16,12,0.3,0.2,0.03,0.47,0.49,0.51,0.09,0.32,0.55,0.04,0.18,0.23,0.24,0.35,0.54,0.46,0.55,0.45,2,6,1,1,24,13,0.88,0.92,2,5,1,1,214,131,6,7,1,0,0,0,0.85,0.87,474,551,20,21,6,6
sale,bristol,23/24,11,14,22,12,11,1.17,2,3,6,130,149,38,39,236,282,16,11,145,151,27,24,7,5,1,3,15,3,0.27,0.31,0.39,0.44,0.31,0.21,90,90,0,1,2,3,2,2,0,0,15,12,0.23,0.23,0.27,0.28,0.53,0.47,0.05,0.29,0.33,0.32,0.13,0.32,0.27,0.28,0.39,0.61,0.53,0.47,3,5,0.67,0.8,18,12,0.83,0.92,3,5,0.67,1,123,172,8,15,2,0,0,0,0.84,0.86,349,447,24,27,7,4
gloucester,sale,23/24,12,32,20,9,10,3.22,2,5,5,74,129,34,25,216,279,8,3,128,88,21,10,2,2,0,2,16,8,0.51,0.61,0.17,0.21,0.3,0.12,55,91,2,2,4,2,3,2,0,0,14,15,0.13,0.38,0.21,0.28,0.45,0.55,0.15,0.18,0.38,0.29,0.08,0.23,0.52,0.17,0.67,0.33,0.39,0.61,3,7,1,0.57,11,25,0.91,0.76,6,5,0.83,1,88,226,14,12,1,2,0,0,0.86,0.9,297,434,10,21,8,9
saracens,exeter-chiefs,23/24,12,40,22,9,11,3.78,1.73,3,7,91,125,32,25,248,283,8,12,132,102,21,22,11,4,4,3,5,17,0.44,0.52,0.29,0.22,0.24,0.21,59,82,2,1,5,3,3,2,1,0,14,21,0.17,0.35,0.14,0.34,0.48,0.52,0.11,0.29,0.43,0.17,0.1,0.25,0.44,0.21,0.7,0.3,0.49,0.51,10,10,0.8,0.7,8,10,1,0.9,8,6,0.75,0.86,111,117,9,8,0,0,0,0,0.86,0.82,390,489,22,21,6,1
bristol,bath,23/24,12,57,44,12,10,4.75,3.8,12,4,125,112,15,16,390,335,9,9,164,135,29,38,1,5,1,0,3,18,0.4,0.54,0.37,0.25,0.19,0.17,84,89,1,2,8,6,7,3,0,0,6,6,0.29,0.19,0.28,0.24,0.5,0.5,0.15,0.16,0.31,0.37,0.2,0.16,0.25,0.38,0.59,0.41,0.5,0.5,2,1,1,1,9,15,1,0.87,11,9,0.92,1,155,119,17,9,2,2,0,0,0.85,0.78,578,432,38,9,3,6
northampton,newcastle,23/24,12,38,13,14,12,2.71,1.08,9,4,153,97,27,28,389,252,5,4,110,166,13,23,5,4,1,1,10,19,0.71,0.68,0.17,0.15,0.06,0.08,109,67,0,2,6,1,3,1,0,0,14,11,0.3,0.24,0.18,0.28,0.49,0.51,0.07,0.32,0.37,0.24,0.08,0.22,0.31,0.39,0.9,0.1,0.59,0.41,8,10,1,0.4,19,13,0.89,0.62,8,4,1,0.8,204,127,9,14,0,2,0,0,0.89,0.88,590,380,23,13,11,2
harlequins,leicester,23/24,12,19,20,6,8,3.17,2.13,5,5,119,124,31,47,337,270,17,13,141,138,29,26,5,3,1,2,4,11,0.49,0.46,0.25,0.28,0.23,0.24,86,97,0,2,3,2,2,2,0,0,20,10,0.18,0.41,0.03,0.38,0.39,0.61,0.13,0.39,0.44,0.04,0.04,0.28,0.48,0.21,0.8,0.2,0.45,0.55,7,5,1,0.6,11,16,0.82,1,4,5,1,1,145,159,6,10,0,0,0,0,0.83,0.84,475,342,26,29,4,11
bristol,northampton,23/24,13,52,21,13,7,4,3,7,5,108,82,17,15,223,132,14,9,113,126,11,13,4,3,3,2,4,15,0.44,0.36,0.38,0.4,0.15,0.2,70,64,1,0,7,3,7,3,0,0,4,3,0.22,0.3,0.18,0.3,0.5,0.5,0.13,0.29,0.36,0.22,0.14,0.22,0.37,0.27,0.53,0.47,0.56,0.44,5,13,1,0.62,9,10,0.89,1,8,4,0.89,0.75,155,104,6,15,1,1,0,0,0.91,0.91,672,230,13,11,6,3
saracens,harlequins,23/24,13,52,7,16,6,3.25,1.17,15,2,119,131,30,24,345,198,40,9,156,96,25,43,8,5,5,2,4,25,0.42,0.51,0.31,0.32,0.2,0.11,66,103,0,0,8,1,6,1,0,0,16,19,0.08,0.39,0.26,0.28,0.52,0.48,0.11,0.26,0.33,0.31,0.04,0.41,0.46,0.09,0.34,0.66,0.48,0.52,5,4,1,1,12,15,0.83,0.93,9,2,1,1,161,198,10,9,1,2,0,0,0.86,0.69,763,504,43,25,10,6
exeter-chiefs,newcastle,23/24,13,25,16,9,5,2.78,2.6,2,3,108,90,23,28,155,166,23,5,136,157,18,12,2,4,2,1,5,6,0.42,0.18,0.26,0.31,0.25,0.49,87,77,1,3,4,1,1,1,0,0,5,9,0.05,0.25,0.33,0.36,0.7,0.3,0.04,0.19,0.4,0.36,0.17,0.5,0.28,0.06,0.11,0.89,0.47,0.53,8,4,0.63,0.75,18,10,0.83,1,6,5,1,1,139,98,12,17,0,2,0,0,0.88,0.93,242,292,12,18,6,7
leicester,gloucester,23/24,13,25,27,8,8,3.13,3.38,5,5,121,127,47,49,326,305,15,12,131,132,39,30,1,4,1,1,12,9,0.46,0.35,0.2,0.33,0.33,0.3,97,93,1,2,4,3,1,3,0,0,10,13,0.12,0.41,0.11,0.36,0.47,0.53,0.12,0.36,0.4,0.12,0.07,0.35,0.45,0.13,0.17,0.83,0.52,0.48,1,3,1,1,13,15,1,0.87,5,6,1,1,156,156,6,6,0,0,0,0,0.77,0.81,485,432,29,39,7,2
bath,sale,23/24,13,42,24,14,7,3,3,9,6,140,83,23,26,383,244,10,20,96,146,24,28,4,2,1,1,4,24,0.61,0.49,0.19,0.28,0.15,0.18,105,65,2,1,5,3,4,3,1,0,10,12,0.14,0.3,0.19,0.37,0.58,0.42,0.04,0.28,0.45,0.23,0.06,0.41,0.36,0.17,0.89,0.11,0.58,0.42,3,4,1,0.75,15,8,0.87,0.75,10,5,0.8,1,161,104,6,11,1,0,0,0,0.8,0.84,476,402,28,24,9,4
newcastle,leicester,23/24,14,13,19,10,7,1,2.71,3,6,127,89,36,28,276,259,6,8,120,150,27,21,5,6,2,2,5,7,0.29,0.47,0.43,0.25,0.24,0.25,109,73,2,0,1,3,1,2,0,0,8,13,0.16,0.32,0.23,0.29,0.56,0.44,0.11,0.21,0.38,0.3,0.11,0.27,0.41,0.21,0.95,0.05,0.58,0.42,21,5,0.67,0.6,21,19,0.76,0.84,5,4,1,1,170,106,8,23,0,3,0,0,0.82,0.88,321,356,21,27,5,7
sale,exeter-chiefs,23/24,14,41,5,13,6,3.15,0.83,12,6,92,124,31,20,223,233,12,3,139,106,28,38,5,4,2,3,23,14,0.51,0.58,0.24,0.24,0.2,0.11,60,92,1,0,6,1,4,0,0,0,15,16,0.15,0.36,0.27,0.21,0.49,0.51,0.03,0.39,0.25,0.32,0.04,0.35,0.42,0.18,0.24,0.76,0.46,0.54,7,7,0.86,0.86,13,15,0.92,0.87,8,2,0.78,1,123,176,9,13,0,1,0,0,0.83,0.74,442,374,38,28,5,2
harlequins,bath,23/24,14,40,36,9,10,4.44,3.6,8,6,114,172,32,26,152,195,10,7,168,107,35,15,10,2,6,1,21,9,0.46,0.5,0.24,0.31,0.26,0.14,80,112,0,1,6,5,5,4,0,0,9,19,0.2,0.33,0.13,0.34,0.45,0.55,0.1,0.33,0.41,0.15,0.06,0.29,0.4,0.24,0.43,0.57,0.45,0.55,3,1,0.67,1,12,15,0.92,0.93,6,7,1,1,132,212,13,7,2,0,0,0,0.83,0.88,481,634,15,35,5,5
gloucester,bristol,23/24,14,24,33,9,10,2.33,3.3,6,13,74,165,23,16,198,548,8,18,206,90,60,15,8,6,3,2,29,12,0.57,0.62,0.22,0.23,0.15,0.06,57,104,1,0,3,5,3,4,0,0,16,20,0.13,0.35,0.09,0.42,0.49,0.51,0.14,0.34,0.42,0.09,0.08,0.43,0.35,0.13,0.49,0.51,0.38,0.62,5,7,1,0.86,12,13,0.83,0.92,6,6,1,1,126,246,8,10,0,0,0,0,0.77,0.86,371,902,15,60,0,5
northampton,saracens,23/24,14,41,30,6,13,6.33,2.08,8,8,122,164,37,35,271,299,7,14,197,153,22,32,4,3,4,2,17,12,0.4,0.56,0.35,0.32,0.24,0.09,94,117,2,2,5,4,5,2,0,0,14,14,0.29,0.33,0.13,0.25,0.36,0.64,0.18,0.37,0.3,0.15,0.04,0.21,0.4,0.35,0.16,0.84,0.46,0.54,5,7,1,0.71,12,10,1,0.8,9,6,0.89,1,159,209,8,8,1,1,0,0,0.9,0.83,530,492,32,22,2,5
bristol,newcastle,23/24,15,85,14,18,3,4.72,4.67,27,2,180,58,4,13,538,127,3,10,81,178,9,55,6,4,3,2,2,41,0.52,0.22,0.34,0.39,0.12,0.37,104,47,0,0,13,2,10,2,0,0,21,13,0.13,0.36,0.28,0.24,0.59,0.41,0.12,0.25,0.29,0.33,0.13,0.29,0.43,0.15,0.83,0.17,0.65,0.35,4,10,0.75,0.5,9,7,1,1,12,4,0.92,1,305,67,3,9,0,0,0,0,0.9,0.76,1208,244,55,9,2,3
sale,harlequins,23/24,15,37,31,13,11,2.85,2.82,10,7,110,180,26,29,312,456,19,1,216,119,35,34,7,6,2,2,17,12,0.39,0.5,0.28,0.3,0.29,0.15,79,137,2,0,5,5,3,3,0,0,16,16,0.2,0.2,0.25,0.35,0.55,0.45,0.14,0.22,0.38,0.27,0.09,0.47,0.22,0.22,0.12,0.88,0.41,0.59,7,3,0.57,1,12,21,0.83,0.95,8,6,0.75,1,130,217,12,5,1,0,0,0,0.86,0.78,532,518,34,35,2,8
exeter-chiefs,bath,23/24,15,14,26,8,10,1.75,2.6,3,3,115,95,16,28,286,185,13,12,125,151,17,15,2,5,1,2,4,10,0.29,0.27,0.45,0.34,0.21,0.36,87,80,0,0,2,4,2,3,0,0,15,13,0.18,0.35,0.28,0.19,0.48,0.52,0.07,0.36,0.23,0.34,0.08,0.27,0.43,0.22,0.31,0.69,0.48,0.52,4,11,1,1,15,14,0.87,0.93,3,4,1,1,138,108,13,12,0,0,0,0,0.88,0.91,392,245,15,17,4,6
northampton,leicester,23/24,15,40,17,11,10,3.36,1.4,11,6,154,122,31,26,398,214,14,14,118,181,21,30,8,3,4,0,13,29,0.48,0.56,0.28,0.17,0.19,0.18,111,77,2,1,5,2,2,2,1,0,14,16,0.19,0.36,0.16,0.3,0.45,0.55,0.08,0.35,0.38,0.2,0.05,0.24,0.46,0.24,0.38,0.62,0.56,0.44,3,5,1,0.6,14,13,0.79,0.92,10,4,1,0.75,169,134,11,17,2,2,0,1,0.85,0.86,675,464,30,21,5,7
saracens,gloucester,23/24,15,46,24,14,13,3.29,1.85,18,11,162,105,37,28,297,190,12,12,108,206,28,29,11,9,4,4,16,20,0.55,0.38,0.25,0.32,0.15,0.21,114,63,1,0,7,4,4,2,0,0,14,18,0.23,0.23,0.22,0.31,0.52,0.48,0.12,0.33,0.32,0.23,0.12,0.4,0.24,0.24,0.26,0.74,0.6,0.4,7,5,1,0.8,12,12,0.92,0.67,10,4,1,1,239,139,10,11,0,1,0,0,0.79,0.88,712,451,29,28,4,2
gloucester,exeter-chiefs,23/24,16,17,38,11,14,1.55,2.5,11,9,110,129,21,31,311,265,11,19,163,151,26,39,8,9,3,4,14,12,0.5,0.58,0.29,0.23,0.17,0.14,80,86,0,1,3,5,1,5,0,0,20,22,0.25,0.28,0.17,0.29,0.46,0.54,0.1,0.33,0.36,0.21,0.09,0.25,0.35,0.31,0.69,0.31,0.51,0.49,8,10,0.88,1,11,12,0.82,0.83,3,7,1,0.78,139,139,9,8,0,0,0,0,0.86,0.79,465,643,39,26,6,3
newcastle,sale,23/24,16,14,35,7,9,2,3.89,3,5,110,97,20,22,184,216,10,10,111,184,21,16,6,5,2,3,10,7,0.26,0.49,0.31,0.31,0.41,0.16,90,65,0,0,2,5,2,5,0,0,12,7,0.22,0.28,0.34,0.16,0.53,0.47,0.08,0.24,0.22,0.47,0.07,0.23,0.38,0.31,0.52,0.48,0.56,0.44,7,7,0.71,0.57,17,14,0.94,0.86,3,6,1,1,106,132,8,11,0,1,0,0,0.84,0.92,225,286,16,21,8,6
harlequins,northampton,23/24,16,41,32,9,12,4.56,2.42,10,11,157,101,32,18,423,358,9,24,125,214,21,22,4,1,1,0,14,14,0.48,0.46,0.32,0.36,0.17,0.14,121,73,1,2,6,4,4,3,0,0,6,17,0.16,0.37,0.2,0.27,0.45,0.55,0.12,0.26,0.35,0.27,0.07,0.24,0.49,0.21,0.64,0.36,0.59,0.41,6,1,0.83,1,12,14,1,0.93,9,7,0.89,0.86,213,165,9,7,3,0,0,0,0.86,0.91,550,479,22,21,5,5
leicester,bristol,23/24,16,19,21,12,4,1.58,5.25,4,6,123,156,23,13,111,240,9,7,146,163,36,18,4,4,4,2,25,8,0.51,0.51,0.23,0.27,0.22,0.19,96,102,0,0,3,3,2,3,0,0,15,21,0.2,0.15,0.33,0.33,0.63,0.37,0.08,0.1,0.41,0.41,0.21,0.35,0.19,0.25,0.16,0.84,0.49,0.51,14,4,0.86,1,17,11,0.94,0.91,4,3,0.75,1,156,183,9,9,1,1,1,0,0.8,0.9,262,450,18,36,5,3
bath,saracens,23/24,16,12,15,7,7,1.71,2.14,2,8,140,109,42,48,183,233,14,21,122,200,22,27,4,3,2,2,7,8,0.5,0.38,0.19,0.23,0.29,0.36,116,82,0,1,2,2,1,1,0,0,18,15,0.19,0.22,0.16,0.43,0.56,0.44,0.08,0.39,0.38,0.14,0.13,0.51,0.19,0.17,0.23,0.77,0.54,0.46,5,7,0.6,1,17,11,0.76,0.73,3,3,1,0.75,145,111,2,9,0,1,0,0,0.85,0.88,337,373,27,22,4,5
sale,leicester,23/24,17,31,22,13,4,2.38,4.75,11,7,124,101,26,29,160,134,11,4,120,130,27,22,4,10,1,5,13,13,0.52,0.37,0.23,0.3,0.18,0.28,81,80,1,1,4,3,4,2,0,0,17,15,0.12,0.28,0.18,0.42,0.59,0.41,0.07,0.35,0.41,0.17,0.14,0.48,0.27,0.12,0.55,0.45,0.51,0.49,5,7,1,1,13,11,1,0.82,6,5,1,0.8,165,135,8,12,0,2,0,0,0.82,0.86,514,396,22,27,3,0
exeter-chiefs,harlequins,23/24,17,58,26,14,5,3.71,5.2,11,6,130,80,25,23,316,214,6,1,97,133,33,32,4,4,3,1,9,8,0.57,0.52,0.21,0.26,0.14,0.19,93,59,3,0,7,4,7,3,0,0,9,12,0.2,0.19,0.29,0.31,0.6,0.4,0.04,0.3,0.34,0.32,0.18,0.39,0.21,0.22,0.63,0.37,0.59,0.41,11,4,0.73,0.75,15,9,0.93,0.89,10,5,0.83,1,156,90,7,8,1,0,0,0,0.75,0.81,563,282,32,33,5,3
bristol,saracens,23/24,17,20,41,9,6,1.56,5.33,6,5,137,106,11,28,252,214,10,11,98,187,27,31,1,11,0,7,14,24,0.52,0.53,0.25,0.27,0.15,0.16,100,70,2,5,2,4,2,3,0,0,15,8,0.25,0.27,0.22,0.26,0.54,0.46,0.14,0.32,0.3,0.25,0.17,0.24,0.31,0.29,0.7,0.3,0.58,0.42,5,3,0.8,0.67,20,9,0.8,1,5,10,1,1,202,127,8,18,1,2,0,0,0.78,0.86,412,374,31,27,7,4
northampton,gloucester,23/24,17,90,0,20,3,4.5,0,20,2,184,67,24,21,447,94,16,8,92,148,5,35,8,4,3,2,9,31,0.61,0.4,0.23,0.3,0.09,0.24,97,52,0,0,14,0,10,0,0,0,13,15,0.14,0.29,0.2,0.38,0.63,0.37,0.07,0.28,0.42,0.22,0.15,0.39,0.32,0.15,0.59,0.41,0.62,0.38,3,10,1,0.5,12,10,0.92,0.8,15,2,0.93,1,238,87,6,11,0,1,0,0,0.95,0.81,1125,155,35,5,5,3
newcastle,bath,23/24,17,17,28,13,8,1.31,3.5,5,6,120,96,15,18,291,87,11,9,104,153,7,29,6,7,4,5,14,7,0.55,0.47,0.27,0.23,0.12,0.25,86,64,0,0,3,4,1,4,0,0,13,18,0.28,0.18,0.3,0.24,0.55,0.45,0.04,0.2,0.34,0.42,0.12,0.23,0.25,0.4,0.27,0.73,0.55,0.45,9,4,0.78,0.75,20,14,0.85,0.93,3,5,1,0.8,152,110,11,18,1,0,0,0,0.94,0.84,357,323,29,7,8,5
bath,northampton,23/24,18,43,17,10,7,4.3,1.71,5,4,70,116,24,16,217,392,20,8,161,89,22,11,6,6,2,3,10,6,0.45,0.34,0.29,0.49,0.21,0.11,50,92,1,0,6,2,5,1,0,0,10,16,0.24,0.29,0.13,0.34,0.46,0.54,0.08,0.34,0.42,0.16,0.03,0.31,0.36,0.3,0.47,0.53,0.44,0.56,10,5,0.5,0.6,12,20,0.83,0.9,8,2,0.87,1,107,182,16,9,1,0,0,0,0.88,0.89,369,370,11,22,4,6
gloucester,newcastle,23/24,18,54,14,13,8,4.15,1.75,9,4,93,128,29,17,344,283,11,7,176,85,23,27,6,3,4,1,6,17,0.34,0.57,0.25,0.3,0.38,0.07,59,106,0,0,8,2,7,2,0,0,8,11,0.25,0.31,0.29,0.16,0.42,0.58,0.14,0.3,0.2,0.36,0.04,0.27,0.39,0.31,0.6,0.4,0.45,0.55,7,5,0.71,1,13,20,1,0.75,8,3,1,1,114,174,14,9,0,1,0,0,0.88,0.76,512,348,27,23,5,5
harlequins,bristol,23/24,18,28,53,15,9,2.47,2.44,13,8,123,130,28,20,363,336,5,10,155,125,33,31,9,8,3,4,9,17,0.38,0.42,0.25,0.38,0.32,0.15,78,101,4,1,4,3,4,2,0,0,20,21,0.24,0.24,0.19,0.34,0.52,0.48,0.05,0.31,0.41,0.23,0.13,0.3,0.29,0.29,0.6,0.4,0.52,0.48,6,6,1,1,12,10,0.92,0.7,8,5,0.89,0.8,147,150,8,15,0,3,1,0,0.82,0.8,282,878,24,40,4,4
leicester,exeter-chiefs,23/24,18,40,22,9,12,3.11,3.92,6,15,90,155,18,5,237,351,7,5,129,114,40,24,9,7,2,4,28,8,0.6,0.59,0.19,0.23,0.15,0.05,66,78,0,2,4,7,4,6,0,0,12,17,0.19,0.34,0.3,0.18,0.45,0.55,0.13,0.27,0.22,0.37,0.06,0.29,0.42,0.24,0.7,0.3,0.44,0.56,4,6,0.75,0.83,16,16,0.94,1,5,10,1,0.91,117,212,11,12,0,0,0,0,0.76,0.83,589,428,31,33,4,1
