HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore,Home 22m Entries,Away 22m Entries,Home 22m Conversions,Away 22m Conversions,Home Line Breaks,Away Line Breaks,Home Carries,Away Carries,Home Kicks,Away Kicks,Home Post Contact Metres,Away Post Contact Metres,Home Dominate Tackles,Away Dominate Tackles,Home Tackles Made,Away Tackles Made,Home Tackles Missed,Away Tackles Missed,Home Turnovers Won,Away Turnovers Won,Home Tackle Turnovers,Away Tackle Turnovers,Home Offloads Allowed,Away Offloads Allowed,Home 0-3s Ruck Speed,Away 0-3s Ruck Speed,Home 3-6s Ruck Speed,Away 3-6s Ruck Speed,Home 6s+ Ruck Speed,Away 6s+ Ruck Speed,Home Rucks Won,Away Rucks Won,Home Penalty Goals,Away Penalty Goals,Home Tries,Away Tries,Home Conversions,Away Conversions,Home Drop Goals,Away Drop Goals,Home Turnovers Lost,Away Turnovers Lost,Territory Home Try-Line - 22m,Territory Home 22m - 50m,Territory Away 22m - 50m,Territory Away Try-Line - 22m,Home Territory,Away Territory,Home Possessions Try Line - 22m,Home Possession 22m - 50m,Home Possession opp 50m - 22m,Home Possession opp 22m - Try Line,Away Possessions Try Line - 22m,Away Possession 22m - 50m,Away Possession opp 50m - 22m,Away Possession opp 22m - Try Line,Home Possession Last 10,Away Possession Last 10,Home Possession,Away Possession,Home Scrums,Away Scrums,Home Scrum Wins,Away Scrum Wins,Home Lineouts,Away Lineouts,Home Lineout Wins %,Away Lineout Wins %,Home Restarts Received,Away Restarts Received,Home Restarts Received Win %,Away Restarts Received Win %,Home Passes,Away Passes,Home Penalties Conceded,Away Penalties Conceded,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Tackle Completion,Away Tackle Completion,Home Metres Gained,Away Metres Gained,Home Defenders Beaten,Away Defenders Beaten,Home Maul Wins,Away Maul Wins
northampton,bath,23/24,4,24,18,6,9,3.5,1.33,3,7,99,124,40,42,266,425,13,13,170,101,21,17,6,6,3,2,6,4,0.43,0.6,0.19,0.21,0.31,0.18,63,98,1,2,3,2,3,1,0,0,10,12,0.17,0.45,0.21,0.17,0.31,0.69,0.23,0.34,0.19,0.24,0.05,0.24,0.52,0.2,0.37,0.63,0.45,0.55,12,4,0.83,0.5,13,12,0.92,0.92,5,5,1,1,102,142,7,10,0,0,0,0,0.89,0.86,258,466,17,21,5,3
sale,gloucester,23/24,4,24,10,12,6,2,1.17,3,4,123,78,41,39,127,59,21,5,72,106,8,14,6,3,2,2,3,12,0.41,0.37,0.29,0.22,0.26,0.36,77,51,0,1,4,1,2,1,0,0,10,13,0.02,0.34,0.19,0.45,0.59,0.41,0.05,0.24,0.5,0.21,0.12,0.49,0.37,0.02,0.42,0.58,0.56,0.44,8,2,0.75,1,17,18,0.88,0.72,7,4,0.86,0.8,146,102,10,12,0,0,0,0,0.9,0.88,351,286,14,8,7,1
newcastle,saracens,23/24,5,12,50,5,13,2.4,3.85,1,11,114,148,26,30,204,377,9,13,114,132,38,19,6,6,1,2,14,3,0.65,0.6,0.16,0.28,0.19,0.12,83,80,0,1,2,7,1,6,0,0,12,7,0.21,0.34,0.16,0.29,0.4,0.6,0.08,0.35,0.37,0.2,0.07,0.22,0.44,0.27,0.32,0.68,0.46,0.54,1,8,1,0.71,14,16,0.86,1,3,7,0.75,1,144,174,11,9,1,1,0,0,0.75,0.87,266,612,19,38,6,11
northampton,exeter-chiefs,23/24,5,34,19,10,4,2.8,4.75,8,1,151,102,48,43,354,234,16,19,152,148,12,26,6,8,2,4,1,14,0.46,0.45,0.35,0.22,0.16,0.25,97,84,2,0,4,3,4,2,0,0,14,11,0.23,0.21,0.18,0.38,0.56,0.44,0.05,0.39,0.38,0.18,0.16,0.39,0.21,0.23,0.27,0.73,0.55,0.45,4,8,1,0.75,13,14,0.92,0.64,7,4,0.86,1,162,77,11,12,0,0,0,1,0.93,0.85,584,310,26,12,5,5
leicester,harlequins,23/24,5,25,29,11,8,2,3.63,5,4,130,118,29,28,216,161,10,13,113,142,21,24,4,7,1,4,7,12,0.58,0.55,0.26,0.23,0.17,0.22,93,79,2,0,3,5,2,2,0,0,15,15,0.27,0.24,0.22,0.26,0.47,0.53,0.06,0.29,0.35,0.3,0.1,0.2,0.33,0.37,0.52,0.48,0.56,0.44,8,8,0.86,1,11,15,0.73,0.87,6,5,1,1,181,115,9,7,0,0,0,0,0.84,0.86,399,334,24,21,2,4
bristol,sale,23/24,5,13,27,7,9,1,3,6,9,163,105,33,42,172,126,13,27,122,167,20,35,5,9,1,6,14,26,0.6,0.54,0.26,0.25,0.14,0.21,94,66,2,0,1,4,1,2,0,1,17,9,0.23,0.3,0.14,0.33,0.5,0.5,0.13,0.33,0.38,0.16,0.13,0.27,0.34,0.26,0.89,0.11,0.54,0.46,7,5,0.83,0.75,16,13,0.94,0.92,4,7,0.6,1,192,136,8,13,0,1,0,0,0.86,0.83,408,526,35,20,7,7
gloucester,bath,23/24,5,27,45,10,14,2.4,3.21,7,8,135,126,25,23,135,121,9,16,159,145,23,26,6,9,2,2,9,12,0.48,0.48,0.3,0.36,0.22,0.16,87,91,2,1,3,6,3,5,0,0,14,16,0.29,0.24,0.22,0.25,0.45,0.55,0.12,0.23,0.35,0.31,0.07,0.19,0.33,0.4,0.57,0.43,0.52,0.48,7,6,1,0.8,13,7,0.92,0.86,7,7,0.86,0.71,178,127,10,11,1,1,0,0,0.87,0.85,404,480,26,23,4,3
exeter-chiefs,gloucester,23/24,6,25,24,9,9,2.11,2.67,2,9,122,87,24,28,124,124,12,7,88,120,21,25,4,5,2,2,11,7,0.6,0.37,0.21,0.23,0.13,0.38,83,58,2,0,3,4,2,2,0,0,14,13,0.24,0.23,0.3,0.22,0.59,0.41,0.11,0.22,0.28,0.38,0.13,0.28,0.29,0.3,0.65,0.35,0.54,0.46,14,5,0.86,1,10,15,0.7,0.93,5,5,1,1,105,128,8,8,1,1,0,0,0.81,0.83,441,298,25,21,4,1
harlequins,saracens,23/24,6,10,38,7,10,1.43,3.8,4,11,164,134,32,30,200,237,3,6,107,157,26,29,9,3,4,2,14,16,0.6,0.42,0.22,0.33,0.18,0.25,113,66,1,0,1,6,1,4,0,0,13,9,0.23,0.29,0.13,0.35,0.46,0.54,0.12,0.26,0.45,0.17,0.06,0.28,0.37,0.3,0.72,0.28,0.52,0.48,5,4,1,1,10,18,0.9,0.94,3,8,1,0.89,232,160,11,12,1,0,0,0,0.8,0.84,408,541,29,26,2,17
leicester,northampton,23/24,6,26,17,7,8,2.43,1.75,2,7,100,137,33,31,214,333,10,9,172,112,33,11,6,9,2,6,14,6,0.61,0.52,0.22,0.31,0.16,0.17,72,105,4,1,2,2,2,2,0,0,15,14,0.17,0.26,0.27,0.3,0.57,0.43,0.07,0.26,0.35,0.32,0.08,0.41,0.31,0.2,0.18,0.82,0.45,0.55,12,8,0.9,0.67,15,10,0.73,0.8,7,3,0.86,1,118,170,10,20,0,2,0,0,0.84,0.91,303,420,11,33,7,6
bath,bristol,23/24,6,20,19,11,7,1.82,2.71,6,5,81,163,28,25,224,204,18,9,126,72,29,27,6,1,2,1,11,15,0.32,0.43,0.29,0.29,0.38,0.24,50,77,2,0,2,3,2,2,0,0,13,15,0.11,0.39,0.16,0.34,0.46,0.54,0.09,0.29,0.43,0.2,0.14,0.24,0.49,0.14,0.14,0.86,0.42,0.58,6,13,1,0.77,14,9,0.79,1,6,5,0.83,1,102,155,6,8,0,0,0,0,0.81,0.73,420,645,27,29,2,5
